tconst,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0112502,Bigfoot,0,2017,\N,\N,"Horror,Thriller",4.5,33.0
tt0164388,Shadow of a Candle,0,2008,\N,\N,"Horror,Short,Thriller",6.9,10.0
tt0200641,Flexing with Monty,0,2010,\N,90,"Comedy,Drama,Horror",3.8,241.0
tt0289146,T.M.A.,0,2009,\N,100,"Horror,Mystery,Thriller",4.6,164.0
tt0319115,Brothel,0,2008,\N,96,"Drama,Horror",4.1,222.0
tt0323808,The Wicker Tree,0,2011,\N,96,"Drama,Horror",3.8,2495.0
tt0339736,The Evil Within,0,2017,\N,98,Horror,5.6,3100.0
tt0353665,El libro de piedra,0,2009,\N,84,"Drama,Fantasy,Horror",3.9,139.0
tt0368563,Possession,0,2009,\N,90,"Drama,Horror,Mystery",5.5,7312.0
tt0369424,The Horror Vault,0,2008,\N,111,"Horror,Thriller",4.2,201.0
tt0382943,Return to Sleepaway Camp,0,2008,\N,86,"Comedy,Horror,Mystery",4.2,3767.0
tt0406759,The Eye,0,2008,\N,98,"Drama,Horror,Mystery",5.4,51707.0
tt0425141,It Came from Trafalgar,0,2009,\N,100,"Horror,Sci-Fi",6.6,45.0
tt0429658,Beneath the Mississippi,0,2008,\N,95,"Horror,Thriller",2.9,71.0
tt0431021,The Possession,0,2012,\N,92,"Horror,Mystery,Thriller",5.9,57173.0
tt0431402,Silo Killer 2: The Wrath of Kyle,0,2009,\N,90,"Comedy,Horror,Western",5.8,28.0
tt0431670,Cabeza de pescado,0,2009,\N,82,"Fantasy,Horror,Thriller",7.8,13.0
tt0432958,Monster Mountain,0,2012,\N,91,"Horror,Sci-Fi",3.4,87.0
tt0433533,Caleuche: El llamado del Mar,0,2012,\N,100,"Drama,Fantasy,Horror",4.8,198.0
tt0433787,L'apocalisse delle scimmie,0,2012,\N,\N,"Drama,Horror",6.4,12.0
tt0436154,Cabras,0,2009,\N,\N,"Horror,Music",6.8,5.0
tt0436230,The Devil Inside,0,2010,\N,\N,"Horror,Thriller",6.7,35.0
tt0439536,Death's Door,0,2008,\N,92,Horror,4.6,99.0
tt0443435,Autopsy,0,2008,\N,84,"Horror,Mystery,Thriller",5.0,6427.0
tt0443648,Something's Wrong in Kansas,0,2008,\N,83,"Horror,Thriller",6.6,36.0
tt0443701,The X Files: I Want to Believe,0,2008,\N,104,"Crime,Drama,Horror",5.9,88794.0
tt0445054,Les 7 jours du talion,0,2010,\N,105,"Crime,Drama,Horror",6.5,7301.0
tt0445939,The Burrowers,0,2008,\N,96,"Horror,Thriller,Western",5.7,7984.0
