is_rainy_day,Date,Count,Day of Week,Time,total_votes,mean_vote,reviews_from_users,reviews_from_critics,weighted_average_vote,num_of_movies_released,Year,max_temp/F,min_temp/F,avg_temp/F,dep_temp/F,hdd_temp/F,wtr/precipitation,avg_spd_wind,mx_spd_wind,dir_wind,ss_sky,wx_sky,spd_pk_spd,dr_pk_spd
YES,31/10/2009,20,Saturday,8:15pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290
YES,31/10/2009,143,Saturday,8:00pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290
YES,31/10/2009,150,Saturday,7:30pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290
YES,31/10/2009,177,Saturday,7:00pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290
YES,31/10/2009,52,Saturday,6:30pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290
YES,31/10/2009,0,Saturday,6:00pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,63,38,51,1,14,0.42,8.1,33,280,8,1,40,290
YES,31/10/2015,80,Saturday,8:15pm,1957949,5.025473684,14647,15358,4.492210526,475,2015,59,42,51,0,14,0.14,9.2,22,160,10,1,28,160
YES,31/10/2015,144,Saturday,8:00pm,1957949,5.025473684,14647,15358,4.492210526,475,2015,59,42,51,0,14,0.14,9.2,22,160,10,1,28,160
YES,31/10/2015,187,Saturday,7:30pm,1957949,5.025473684,14647,15358,4.492210526,475,2015,59,42,51,0,14,0.14,9.2,22,160,10,1,28,160
YES,31/10/2015,188,Saturday,7:00pm,1957949,5.025473684,14647,15358,4.492210526,475,2015,59,42,51,0,14,0.14,9.2,22,160,10,1,28,160
YES,31/10/2015,135,Saturday,6:30pm,1957949,5.025473684,14647,15358,4.492210526,475,2015,59,42,51,0,14,0.14,9.2,22,160,10,1,28,160
YES,31/10/2015,13,Saturday,6:00pm,1957949,5.025473684,14647,15358,4.492210526,475,2015,59,42,51,0,14,0.14,9.2,22,160,10,1,28,160
NO,31/10/2010,3,Sunday,8:15pm,2466788,4.947157191,13451,12616,4.440802676,299,2010,56,40,48,-2,17,0,9.1,17,40,2,,22,30
NO,31/10/2010,185,Sunday,8:00pm,2466788,4.947157191,13451,12616,4.440802676,299,2010,56,40,48,-2,17,0,9.1,17,40,2,,22,30
NO,31/10/2010,187,Sunday,7:30pm,2466788,4.947157191,13451,12616,4.440802676,299,2010,56,40,48,-2,17,0,9.1,17,40,2,,22,30
NO,31/10/2010,179,Sunday,7:00pm,2466788,4.947157191,13451,12616,4.440802676,299,2010,56,40,48,-2,17,0,9.1,17,40,2,,22,30
NO,31/10/2010,172,Sunday,6:30pm,2466788,4.947157191,13451,12616,4.440802676,299,2010,56,40,48,-2,17,0,9.1,17,40,2,,22,30
NO,31/10/2010,0,Sunday,6:00pm,2466788,4.947157191,13451,12616,4.440802676,299,2010,56,40,48,-2,17,0,9.1,17,40,2,,22,30
YES,31/10/2013,20,Thursday,8:15pm,3730787,4.986567164,17306,17368,4.431343284,402,2013,66,57,62,11,3,0.97,15.7,37,280,10,1,51,270
YES,31/10/2013,68,Thursday,8:00pm,3730787,4.986567164,17306,17368,4.431343284,402,2013,66,57,62,11,3,0.97,15.7,37,280,10,1,51,270
YES,31/10/2013,70,Thursday,7:30pm,3730787,4.986567164,17306,17368,4.431343284,402,2013,66,57,62,11,3,0.97,15.7,37,280,10,1,51,270
YES,31/10/2013,81,Thursday,7:00pm,3730787,4.986567164,17306,17368,4.431343284,402,2013,66,57,62,11,3,0.97,15.7,37,280,10,1,51,270
YES,31/10/2013,119,Thursday,6:30pm,3730787,4.986567164,17306,17368,4.431343284,402,2013,66,57,62,11,3,0.97,15.7,37,280,10,1,51,270
YES,31/10/2013,33,Thursday,6:00pm,3730787,4.986567164,17306,17368,4.431343284,402,2013,66,57,62,11,3,0.97,15.7,37,280,10,1,51,270
YES,31/10/2018,11,Wednesday,8:15pm,3008898,5.285084034,41539,14866,4.634243697,476,2018,67,57,62,11,3,0.45,10.4,22,210,9,1,32,200
YES,31/10/2018,107,Wednesday,8:00pm,3008898,5.285084034,41539,14866,4.634243697,476,2018,67,57,62,11,3,0.45,10.4,22,210,9,1,32,200
YES,31/10/2018,140,Wednesday,7:30pm,3008898,5.285084034,41539,14866,4.634243697,476,2018,67,57,62,11,3,0.45,10.4,22,210,9,1,32,200
YES,31/10/2018,176,Wednesday,7:00pm,3008898,5.285084034,41539,14866,4.634243697,476,2018,67,57,62,11,3,0.45,10.4,22,210,9,1,32,200
YES,31/10/2018,148,Wednesday,6:30pm,3008898,5.285084034,41539,14866,4.634243697,476,2018,67,57,62,11,3,0.45,10.4,22,210,9,1,32,200
YES,31/10/2018,18,Wednesday,6:00pm,3008898,5.285084034,41539,14866,4.634243697,476,2018,67,57,62,11,3,0.45,10.4,22,210,9,1,32,200
YES,31/10/2019,40,Thursday,8:15pm,2449871,5.545953003,38905,14649,4.846997389,383,2019,58,33,46,-5,19,0.8,13.9,31,260,10,12,40,270
YES,31/10/2019,77,Thursday,8:00pm,2449871,5.545953003,38905,14649,4.846997389,383,2019,58,33,46,-5,19,0.8,13.9,31,260,10,12,40,270
YES,31/10/2019,144,Thursday,7:30pm,2449871,5.545953003,38905,14649,4.846997389,383,2019,58,33,46,-5,19,0.8,13.9,31,260,10,12,40,270
YES,31/10/2019,145,Thursday,7:00pm,2449871,5.545953003,38905,14649,4.846997389,383,2019,58,33,46,-5,19,0.8,13.9,31,260,10,12,40,270
YES,31/10/2019,117,Thursday,6:30pm,2449871,5.545953003,38905,14649,4.846997389,383,2019,58,33,46,-5,19,0.8,13.9,31,260,10,12,40,270
YES,31/10/2019,0,Thursday,6:00pm,2449871,5.545953003,38905,14649,4.846997389,383,2019,58,33,46,-5,19,0.8,13.9,31,260,10,12,40,270
NO,31/10/2016,63,Monday,8:15pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,63,51,57,6,8,0,7.8,15,100,10,,20,100
NO,31/10/2016,147,Monday,8:00pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,63,51,57,6,8,0,7.8,15,100,10,,20,100
NO,31/10/2016,226,Monday,7:30pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,63,51,57,6,8,0,7.8,15,100,10,,20,100
NO,31/10/2016,226,Monday,7:00pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,63,51,57,6,8,0,7.8,15,100,10,,20,100
NO,31/10/2016,138,Monday,6:30pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,63,51,57,6,8,0,7.8,15,100,10,,20,100
NO,31/10/2016,22,Monday,6:00pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,63,51,57,6,8,0,7.8,15,100,10,,20,100
YES,31/10/2011,53,Monday,8:15pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,60,38,49,-2,16,0.02,6.4,14,210,6,,18,200
YES,31/10/2011,197,Monday,8:00pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,60,38,49,-2,16,0.02,6.4,14,210,6,,18,200
YES,31/10/2011,252,Monday,7:30pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,60,38,49,-2,16,0.02,6.4,14,210,6,,18,200
YES,31/10/2011,195,Monday,7:00pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,60,38,49,-2,16,0.02,6.4,14,210,6,,18,200
YES,31/10/2011,172,Monday,6:30pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,60,38,49,-2,16,0.02,6.4,14,210,6,,18,200
YES,31/10/2011,0,Monday,6:00pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,60,38,49,-2,16,0.02,6.4,14,210,6,,18,200
NO,31/10/2017,66,Tuesday,8:15pm,3414310,5.320120724,27803,15721,4.681287726,497,2017,46,31,39,-12,26,0,5.5,15,280,5,,20,280
NO,31/10/2017,161,Tuesday,8:00pm,3414310,5.320120724,27803,15721,4.681287726,497,2017,46,31,39,-12,26,0,5.5,15,280,5,,20,280
NO,31/10/2017,192,Tuesday,7:30pm,3414310,5.320120724,27803,15721,4.681287726,497,2017,46,31,39,-12,26,0,5.5,15,280,5,,20,280
