is_rainy_day,Count,Day of Week,Time,total_votes,mean_vote,reviews_from_users,reviews_from_critics,weighted_average_vote,num_of_movies_released,Year,avg_temp/F,avg_spd_wind,dir_wind
YES,20,Saturday,8:15pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,51,8.1,280
YES,143,Saturday,8:00pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,51,8.1,280
YES,150,Saturday,7:30pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,51,8.1,280
YES,177,Saturday,7:00pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,51,8.1,280
YES,52,Saturday,6:30pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,51,8.1,280
YES,0,Saturday,6:00pm,2707818,4.967880795,14331,12933,4.516225166,302,2009,51,8.1,280
YES,80,Saturday,8:15pm,1957949,5.025473684,14647,15358,4.492210526,475,2015,51,9.2,160
YES,144,Saturday,8:00pm,1957949,5.025473684,14647,15358,4.492210526,475,2015,51,9.2,160
YES,187,Saturday,7:30pm,1957949,5.025473684,14647,15358,4.492210526,475,2015,51,9.2,160
YES,188,Saturday,7:00pm,1957949,5.025473684,14647,15358,4.492210526,475,2015,51,9.2,160
YES,135,Saturday,6:30pm,1957949,5.025473684,14647,15358,4.492210526,475,2015,51,9.2,160
YES,13,Saturday,6:00pm,1957949,5.025473684,14647,15358,4.492210526,475,2015,51,9.2,160
NO,3,Sunday,8:15pm,2466788,4.947157191,13451,12616,4.440802676,299,2010,48,9.1,40
NO,185,Sunday,8:00pm,2466788,4.947157191,13451,12616,4.440802676,299,2010,48,9.1,40
NO,187,Sunday,7:30pm,2466788,4.947157191,13451,12616,4.440802676,299,2010,48,9.1,40
NO,179,Sunday,7:00pm,2466788,4.947157191,13451,12616,4.440802676,299,2010,48,9.1,40
NO,172,Sunday,6:30pm,2466788,4.947157191,13451,12616,4.440802676,299,2010,48,9.1,40
NO,0,Sunday,6:00pm,2466788,4.947157191,13451,12616,4.440802676,299,2010,48,9.1,40
YES,20,Thursday,8:15pm,3730787,4.986567164,17306,17368,4.431343284,402,2013,62,15.7,280
YES,68,Thursday,8:00pm,3730787,4.986567164,17306,17368,4.431343284,402,2013,62,15.7,280
YES,70,Thursday,7:30pm,3730787,4.986567164,17306,17368,4.431343284,402,2013,62,15.7,280
YES,81,Thursday,7:00pm,3730787,4.986567164,17306,17368,4.431343284,402,2013,62,15.7,280
YES,119,Thursday,6:30pm,3730787,4.986567164,17306,17368,4.431343284,402,2013,62,15.7,280
YES,33,Thursday,6:00pm,3730787,4.986567164,17306,17368,4.431343284,402,2013,62,15.7,280
YES,11,Wednesday,8:15pm,3008898,5.285084034,41539,14866,4.634243697,476,2018,62,10.4,210
YES,107,Wednesday,8:00pm,3008898,5.285084034,41539,14866,4.634243697,476,2018,62,10.4,210
YES,140,Wednesday,7:30pm,3008898,5.285084034,41539,14866,4.634243697,476,2018,62,10.4,210
YES,176,Wednesday,7:00pm,3008898,5.285084034,41539,14866,4.634243697,476,2018,62,10.4,210
YES,148,Wednesday,6:30pm,3008898,5.285084034,41539,14866,4.634243697,476,2018,62,10.4,210
YES,18,Wednesday,6:00pm,3008898,5.285084034,41539,14866,4.634243697,476,2018,62,10.4,210
YES,40,Thursday,8:15pm,2449871,5.545953003,38905,14649,4.846997389,383,2019,46,13.9,260
YES,77,Thursday,8:00pm,2449871,5.545953003,38905,14649,4.846997389,383,2019,46,13.9,260
YES,144,Thursday,7:30pm,2449871,5.545953003,38905,14649,4.846997389,383,2019,46,13.9,260
YES,145,Thursday,7:00pm,2449871,5.545953003,38905,14649,4.846997389,383,2019,46,13.9,260
YES,117,Thursday,6:30pm,2449871,5.545953003,38905,14649,4.846997389,383,2019,46,13.9,260
YES,0,Thursday,6:00pm,2449871,5.545953003,38905,14649,4.846997389,383,2019,46,13.9,260
NO,63,Monday,8:15pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,57,7.8,100
NO,147,Monday,8:00pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,57,7.8,100
NO,226,Monday,7:30pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,57,7.8,100
NO,226,Monday,7:00pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,57,7.8,100
NO,138,Monday,6:30pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,57,7.8,100
NO,22,Monday,6:00pm,3339713,5.133849558,20064,17029,4.561504425,452,2016,57,7.8,100
YES,53,Monday,8:15pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,49,6.4,210
YES,197,Monday,8:00pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,49,6.4,210
YES,252,Monday,7:30pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,49,6.4,210
YES,195,Monday,7:00pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,49,6.4,210
YES,172,Monday,6:30pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,49,6.4,210
YES,0,Monday,6:00pm,2594505,4.963366337,13556,14743,4.461056106,303,2011,49,6.4,210
NO,66,Tuesday,8:15pm,3414310,5.320120724,27803,15721,4.681287726,497,2017,39,5.5,280
NO,161,Tuesday,8:00pm,3414310,5.320120724,27803,15721,4.681287726,497,2017,39,5.5,280
NO,192,Tuesday,7:30pm,3414310,5.320120724,27803,15721,4.681287726,497,2017,39,5.5,280
NO,167,Tuesday,7:00pm,3414310,5.320120724,27803,15721,4.681287726,497,2017,39,5.5,280
NO,149,Tuesday,6:30pm,3414310,5.320120724,27803,15721,4.681287726,497,2017,39,5.5,280
NO,41,Tuesday,6:00pm,3414310,5.320120724,27803,15721,4.681287726,497,2017,39,5.5,280
YES,20,Wednesday,8:15pm,2461761,4.950276243,13495,15916,4.440331492,362,2012,41,13.6,310
YES,111,Wednesday,8:00pm,2461761,4.950276243,13495,15916,4.440331492,362,2012,41,13.6,310
YES,232,Wednesday,7:30pm,2461761,4.950276243,13495,15916,4.440331492,362,2012,41,13.6,310
YES,163,Wednesday,7:00pm,2461761,4.950276243,13495,15916,4.440331492,362,2012,41,13.6,310
YES,147,Wednesday,6:30pm,2461761,4.950276243,13495,15916,4.440331492,362,2012,41,13.6,310
YES,0,Wednesday,6:00pm,2461761,4.950276243,13495,15916,4.440331492,362,2012,41,13.6,310
NO,9,Friday,8:15pm,1862166,5.075285171,12891,9664,4.561977186,263,2008,52,7,190
NO,144,Friday,8:00pm,1862166,5.075285171,12891,9664,4.561977186,263,2008,52,7,190
NO,147,Friday,7:30pm,1862166,5.075285171,12891,9664,4.561977186,263,2008,52,7,190
NO,117,Friday,7:00pm,1862166,5.075285171,12891,9664,4.561977186,263,2008,52,7,190
NO,75,Friday,6:30pm,1862166,5.075285171,12891,9664,4.561977186,263,2008,52,7,190
NO,0,Friday,6:00pm,1862166,5.075285171,12891,9664,4.561977186,263,2008,52,7,190
NO,8,Saturday,8:15pm,411201,5.349137931,8970,3492,4.605172414,116,2020,46,9,160
NO,56,Saturday,8:00pm,411201,5.349137931,8970,3492,4.605172414,116,2020,46,9,160
NO,48,Saturday,7:30pm,411201,5.349137931,8970,3492,4.605172414,116,2020,46,9,160
NO,52,Saturday,7:00pm,411201,5.349137931,8970,3492,4.605172414,116,2020,46,9,160
NO,44,Saturday,6:30pm,411201,5.349137931,8970,3492,4.605172414,116,2020,46,9,160
NO,11,Saturday,6:00pm,411201,5.349137931,8970,3492,4.605172414,116,2020,46,9,160
YES,18,Friday,8:15pm,2469858,5.166960352,15433,16461,4.609691630,454,2014,42,10.7,360
YES,115,Friday,8:00pm,2469858,5.166960352,15433,16461,4.609691630,454,2014,42,10.7,360
YES,124,Friday,7:30pm,2469858,5.166960352,15433,16461,4.609691630,454,2014,42,10.7,360
YES,91,Friday,7:00pm,2469858,5.166960352,15433,16461,4.609691630,454,2014,42,10.7,360
YES,106,Friday,6:30pm,2469858,5.166960352,15433,16461,4.609691630,454,2014,42,10.7,360
YES,0,Friday,6:00pm,2469858,5.166960352,15433,16461,4.609691630,454,2014,42,10.7,360
