Year,max_temp/F,min_temp/F,avg_temp/F,dep_temp/F,hdd_temp/F,cdd_temp/F,wtr/precipitation,snw,swn_dpth,avg_spd_wind,mx_spd_wind,dir_wind,min_sunshine,psbl_sunshine,ss_sky,wx_sky,spd_pk_spd,dr_pk_spd
2008,69,35,52,2,13,0,0,0,0,7,15,190,M,M,0,,18,180
2009,63,38,51,1,14,0,0.42,0,0,8.1,33,280,M,M,8,1,40,290
2010,56,40,48,-2,17,0,0,0,0,9.1,17,40,M,M,2,,22,30
2011,60,38,49,-2,16,0,0.02,0,0,6.4,14,210,M,M,6,,18,200
2012,43,38,41,-10,24,0,0.07,0,0,13.6,21,310,M,M,9,1,25,310
2013,66,57,62,11,3,0,0.97,0,0,15.7,37,280,M,M,10,1,51,270
2014,48,36,42,-9,23,0,0.19,0,0,10.7,29,360,M,M,10,1,37,350
2015,59,42,51,0,14,0,0.14,0,0,9.2,22,160,M,M,10,1,28,160
2016,63,51,57,6,8,0,0,0,0,7.8,15,100,M,M,10,,20,100
2017,46,31,39,-12,26,0,0,0,0,5.5,15,280,M,M,5,,20,280
2018,67,57,62,11,3,0,0.45,0,0,10.4,22,210,M,M,9,1,32,200
2019,58,33,46,-5,19,0,0.8,0,0,13.9,31,260,M,M,10,12,40,270
2020,57,35,46,-5,19,0,0,0,0,9,16,160,M,M,2,,21,170
